pc11_dist_key,pc11_state_id,pc11_district_id,ec05_emp_all,sum_manuf_shares,share_shric_5,share_shric_6,share_shric_7,share_shric_8,share_shric_9,share_shric_10,share_shric_11,share_shric_12,share_shric_13,share_shric_14,share_shric_15,share_shric_16,share_shric_17,share_shric_18,share_shric_19,share_shric_20,share_shric_21,share_shric_22,share_shric_23,share_shric_24,share_shric_25,share_shric_26,share_shric_27,share_shric_28,share_shric_29,share_shric_30,share_shric_31,share_shric_32,share_shric_72
01_001,01,001,25709.0,0.17503597961803258,0.007273717375238243,0.0,0.003734100898518029,0.024777315337041503,3.8896884359562796e-05,0.02862810688863822,0.0,3.8896884359562796e-05,0.02045976117313003,0.047181920728149675,3.8896884359562796e-05,0.0,0.012135827920183593,0.00031117507487650237,0.0,0.000583453265393442,0.0,0.0,0.0,0.0073904080283169315,0.0,0.0,0.0,0.0,0.0,0.0,0.0008168345715508188,0.0,0.021626667703916917
01_002,01,002,50539.0,0.42339579334771166,0.0013257088585053127,0.0018797364411642494,0.0012465620609826075,0.01693741466985892,0.0,0.032291893389263734,3.957339876135262e-05,0.0,0.2088881853617998,0.030471517046241518,0.0007914679752270523,0.000573814282039613,0.011535645738934288,0.00128613545974396,0.0,0.0,0.0,0.00013850689566473416,0.0,0.08241160292051683,0.00017808029442608679,1.978669938067631e-05,0.0,0.0,5.936009814202893e-05,7.914679752270524e-05,0.00407606007241932,0.0,0.02916559488711688
01_003,01,003,13289.0,0.09082699977424938,0.0006772518624426217,0.002633757242832418,0.0011287531040710362,0.002107005794265934,0.0,0.002633757242832418,0.0,0.0,0.0008277522763187598,7.525020693806908e-05,7.525020693806908e-05,0.0029347580705846943,0.0016555045526375196,0.001881255173451727,0.0,0.003536759726089247,0.0,7.525020693806908e-05,0.0,0.001956505380389796,0.001881255173451727,0.0,0.0,0.00022575062081420724,0.003085258484460832,0.0,0.0011287531040710362,0.0,0.0623071713447212
01_004,01,004,8520.605527797103,0.153271052622945,0.024443284270774166,0.004979836073072058,0.022956429685565306,0.0007041753054317521,0.0009389004072423361,0.012227817939722873,0.00046945020362116805,0.0,0.001051081814606303,0.001130187039133385,0.00031123975456700365,0.0,0.0037783155247235784,0.0038904969320875454,0.0,0.0,0.0,0.0,0.0,0.0,0.000778099386417509,0.0,0.013227689569097657,0.0,0.00023472510181058402,0.0,0.006709788725585216,0.00011736255090529201,0.05532217233858129
01_005,01,005,17067.0,0.17583640944512802,0.0018163707740083202,0.0013476299291029473,0.001054666901037089,0.06902208941231616,0.0,0.011015409855276263,0.00023437042245268646,0.0005859260561317162,0.006913927462354251,0.03257748872092342,0.0008788890841975743,0.0018163707740083202,0.0014062225347161188,0.0009960742954239175,0.0,0.0,0.0,0.00011718521122634323,0.0,0.0020507411964610068,0.00023437042245268646,0.0,0.0,0.0,0.00023437042245268646,0.0,0.0032811859143376107,0.0004687408449053729,0.03978437921134353
01_006,01,006,24300.0,0.12259259259259259,0.0006584362139917696,0.0,0.00037037037037037035,0.047736625514403296,0.0027983539094650206,0.0020987654320987655,0.0008230452674897119,0.0,0.0003292181069958848,4.11522633744856e-05,0.0,0.0014814814814814814,0.0023045267489711935,8.23045267489712e-05,0.0,0.0,0.0,0.0,0.0,0.03481481481481481,0.0,0.0,0.0,0.0,0.001522633744855967,0.0,0.0023868312757201644,0.0,0.0251440329218107
01_007,01,007,33078.0,0.1598343309752706,0.0,0.0014208839712195416,0.012183324263861177,0.044924118749622106,0.00024185259084587944,0.005381220146320817,9.069472156720479e-05,0.0,0.0003325473124130842,0.0,9.069472156720479e-05,0.0026603784993046737,0.0048370518169175885,0.0021162101699014452,0.00012092629542293972,0.0,0.0,0.0005743999032589637,0.0,0.005683535884878166,0.005713767458733901,0.0,0.0006348630509704335,0.0,0.000423242033980289,9.069472156720479e-05,9.069472156720479e-05,0.00027208416470161435,0.07195114577664913
01_008,01,008,46719.0,0.24197863824140076,0.0007277553029816563,0.0002996639482865644,0.0011772512254115029,0.012500267557096684,0.00017123654187803678,0.03407607183372932,6.421370320426378e-05,0.0,0.09030587127292965,0.0351677047882018,0.0,0.0015625334446370855,0.03775765748410711,0.0006635415997773925,0.0,0.0,0.0,0.00036387765149082816,0.0,0.004280913546950919,0.0007491598707164109,0.0,0.0006849461675121471,8.561827093901839e-05,0.0,0.0,0.0014983197414328217,0.0,0.01984203429011751
01_009,01,009,17413.0,0.35381611439728944,0.0013782805949577902,0.000229713432492965,0.0005168552231091713,0.016022511916384312,0.0,0.021650491012461952,0.0,0.0,0.22862229368862344,0.02567047608108884,0.0,0.0004019985068626888,0.026819043243553668,0.0004019985068626888,0.0,0.0,0.0,0.00034457014873944756,0.0,0.014242232814563832,0.0,0.0,0.0004019985068626888,0.0001148567162464825,0.0,0.0,0.0010337104462183426,0.0,0.01596508355826107
01_010,01,010,94972.98626226584,0.26148093450632515,0.01426156931824708,1.0529309852788262e-05,0.005591063531830568,0.0019332259046916404,0.0002402922825204582,0.036493781109696,1.0529309852788262e-05,2.1058619705576525e-05,0.06250426620208308,0.03849771024987906,0.001126636154248344,0.0011371654641011324,0.027361509199175293,0.005675298010652873,1.0529309852788262e-05,0.00014741033793903567,0.0,0.0001684689576446122,0.0,0.0010529309852788263,0.0026217981533442772,0.0,0.0018742171537963106,4.211723941115305e-05,0.00012635171823345914,0.011992883922325831,0.0011209906219673286,3.1587929558364785e-05,0.04742701351043643
01_011,01,011,9319.0,0.18349608327073727,0.019637300139499946,0.00021461530207103768,0.0028973065779590084,0.013735379332546411,0.0020388453696748576,0.03487498658654362,0.0,0.0,0.025109990342311407,0.03584075544586329,0.0,0.0005365382551775941,0.021032299602961692,0.0021461530207103766,0.0,0.0,0.00010730765103551884,0.0,0.0,0.0005365382551775941,0.003970383088314197,0.0,0.0005365382551775941,0.0,0.0003219229531065565,0.0017169224165683014,0.0009657688593196694,0.0,0.01727653181671853
01_012,01,012,33031.0,0.32163724985619574,0.013623565741273349,0.00048439344857860797,0.0076291968151130755,0.013078623111622415,0.000544942629650934,0.04453392267869577,0.00012109836214465199,0.001029336078229542,0.05116405800611547,0.026732463443431928,0.001089885259301868,0.001392631164663498,0.03433138566800884,0.002028397565922921,0.0,0.00012109836214465199,0.0,0.000423844267506282,0.0,0.07393055008931004,0.000454118858042445,0.000817413944476401,6.0549181072325996e-05,0.00151372952680815,0.000544942629650934,0.0,0.0026944385577185067,0.004692561533105264,0.03860010293360782
01_013,01,013,11735.0,0.22607584149978693,0.016446527481891775,0.0,0.004175543246697912,0.01303792074989348,0.00017043033659991478,0.058968896463570515,0.0,0.001107797187899446,0.016872603323391563,0.040477204942479764,0.0,0.0017895185342991053,0.02326374094588837,0.0007669365146996165,0.0,0.0,0.0,0.0034086067319982955,0.0,0.01014060502769493,0.00034086067319982955,8.521516829995739e-05,0.0,0.0,8.521516829995739e-05,0.00017043033659991478,0.00017043033659991478,0.00025564550489987217,0.03434171282488283
01_014,01,014,40940.0,0.24999999999999994,0.008036150464093795,7.327796775769418e-05,0.0021494870542256963,0.019858329262335123,0.0,0.03759159745969712,0.0004396678065461651,0.0,0.07892037127503664,0.029482169027845628,0.00012212994626282364,0.0,0.034684904738641914,0.0010258915486077186,0.0,0.0,0.0,0.00014655593551538836,0.0,0.024425989252564728,0.0,4.885197850512946e-05,0.0,0.0,0.0,0.0,0.0018563751831949195,0.00019540791402051784,0.010942843185149
01_015,01,015,32180.0,0.31078309509011814,0.009384711000621503,0.0,0.0014605344934742076,0.014201367308887507,0.0,0.032411435674331884,0.00018645121193287757,0.00037290242386575515,0.11880049720323183,0.029707893101305158,3.1075201988812927e-05,0.0,0.04167184586699813,0.002082038533250466,0.0,0.0,0.0,0.00027967681789931633,0.0,0.03896830329397141,0.0,0.0,0.0,0.0,0.0,0.0,0.006215040397762586,0.0,0.015009322560596644
01_016,01,016,13054.0,0.13428834073847098,0.004749502068331546,0.00030641948827945457,7.660487206986364e-05,0.05569174199479087,0.0,0.0011490730810479546,0.0,0.0,0.010571472345641183,0.0,0.00045962923241918186,0.0019917266738164545,0.0006128389765589091,0.00030641948827945457,0.0,0.0,0.0,0.00015320974413972729,0.0,0.00022981461620959093,0.0,0.0,0.0,0.0,0.00045962923241918186,0.0,0.003830243603493182,0.0,0.05370001532097442
01_017,01,017,7288.0,0.10894621295279913,0.005351262349066959,0.00013721185510428101,0.0010976948408342481,0.033068057080131726,0.0,0.002469813391877058,0.0,0.0,0.002332601536772777,0.00027442371020856203,0.0,0.001646542261251372,0.001234906695938529,0.0010976948408342481,0.0,0.0,0.0,0.0005488474204171241,0.0,0.00013721185510428101,0.0,0.0,0.0,0.0,0.0,0.00027442371020856203,0.0031558726673984634,0.0,0.056119648737650935
01_018,01,018,6465.0,0.12095901005413766,0.005877803557617943,0.0,0.002010827532869296,0.04640371229698376,0.00015467904098994585,0.0004640371229698376,0.0015467904098994587,0.0,0.010982211910286156,0.0,0.0,0.0018561484918793504,0.001082753286929621,0.0,0.0,0.0,0.0,0.0006187161639597834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027842227378190253,0.0,0.04717710750193349
01_019,01,019,24822.0,0.1794778825235678,0.00016114736926919668,0.007694786882604141,0.0012488921118362743,0.04246233180243333,0.0,0.008460236886632826,0.0009668842156151801,0.0,0.023003786963177827,0.0,0.0004028684231729917,0.0014906131657400692,0.003021513173797438,0.0017726210619611635,0.0,0.0,0.0,0.012972363226170333,0.0,0.010837160583353477,0.00016114736926919668,0.0,0.0,0.0,0.0014100394811054709,0.00016114736926919668,0.005156715816614294,0.0,0.0580936266215454
01_020,01,020,12116.0,0.09565863321228127,0.00041267745130406077,0.0015681743149554307,0.0012380323539121821,0.028557279630241003,0.0,0.0054473423572136016,0.001072961373390558,0.0,0.0004952129415648729,0.0,8.253549026081215e-05,0.001072961373390558,0.0009078903928689336,0.00115549686365137,0.0,0.0,0.0,0.004704522944866293,0.0,0.0037966325519973587,0.000577748431825685,0.0,0.0,0.0,0.005694948827996038,0.0001650709805216243,0.0036315615714757345,8.253549026081215e-05,0.03499504787058435
01_021,01,021,99204.0,0.14461110439095198,0.001300350792306762,0.00027216644490141525,0.0023587758558122657,0.021581791056812225,0.0006451352768033547,0.003649046409418975,0.0008265795734042982,0.0,0.004848594814725213,0.03303294222007177,0.003255917100116931,0.001088665779605661,0.0049897181565259465,0.005765896536429982,2.0160477400104834e-05,4.032095480020967e-05,0.0011189064957058182,0.001622918430708439,0.0,0.005634853433329301,0.00034272811580178216,0.003911132615620338,0.0050401193500262086,0.00025200596750131043,0.00039312930930204425,0.00043345026410225395,0.001622918430708439,8.064190960041933e-05,0.040482238619410506
01_022,01,022,18197.0,0.21217783151068856,0.00010990822663076331,0.0010990822663076332,0.008188162883991866,0.01989338902016816,0.0006594493597845798,0.0034071550255536627,0.0069791723910534705,0.0,0.0046161455184920595,0.015112381161729955,0.0005495411331538166,0.0008792658130461065,0.006209814804638127,0.0020333021926691214,0.0,0.0,0.019069077320437434,0.0076386217508380505,0.0,0.031213936363136782,0.0008243116997307248,5.495411331538166e-05,0.005605319558168929,5.495411331538166e-05,0.002857613892399846,0.00010990822663076331,0.00500082431169973,0.0,0.07001154036379623
02_023,02,023,29008.0,0.14968284611141758,0.000827357970215113,0.0007239382239382239,0.0003102592388306674,0.06467181467181467,3.447324875896305e-05,0.005929398786541644,0.0,0.0,0.006963596249310535,0.031646442360728076,3.447324875896305e-05,0.0036541643684500826,0.004688361831218974,0.0012755102040816326,0.0,0.0,0.00048262548262548264,0.00010341974627688913,0.0,0.0,0.0,0.0,6.89464975179261e-05,3.447324875896305e-05,0.00010341974627688913,0.001620242691671263,0.0019994484280198566,0.0,0.024510479867622725
02_024,02,024,100773.0,0.14653726692665694,0.0012304883252458496,0.0013793377194288154,0.0012404116181913805,0.032141545850575055,0.0001984658589106209,0.005953975767318627,0.0011213321028450082,0.00041677830371230387,0.0014388774771020014,0.034245283955027635,0.0003770851319301797,0.0011213321028450082,0.00531888501880464,0.00237166701398192,0.000436624889603366,1.984658589106209e-05,0.0012205650323003185,0.0010419457592807596,0.00017861927301955882,0.006757762495906642,0.003721234854574142,3.969317178212418e-05,0.0,4.9616464727655224e-05,6.946305061871732e-05,0.0011411786887360702,0.006162364919174779,0.0,0.0371428854951227
02_025,02,025,4562.0,0.07496711968434897,0.0,0.0,0.0017536168347216134,0.003288031565103025,0.0,0.0070144673388864535,0.0,0.0,0.019508987286277948,0.02082419991231916,0.0,0.000657606313020605,0.002849627356422622,0.00021920210434020167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021920210434020167,0.0,0.0021920210434020165,0.0,0.016440157825515125
02_026,02,026,33011.0,0.14028657114295234,0.0009390809124231316,0.0005149798551997819,0.0001817575959528642,0.03244373087758626,0.0001211717306352428,0.01039047590197207,0.006967374511526461,0.0,0.009148465662960832,0.03077761958135167,3.02929326588107e-05,0.0013328890369876708,0.014449728878252703,0.0015449395655993457,0.0,0.0,0.0,0.000302929326588107,0.0,0.002817242737269395,0.0002726363939292963,0.0,0.0,0.0,0.0,0.0,0.003211050861833934,0.0,0.024840204780224775
02_027,02,027,68054.0,0.19787227789696415,0.0019543303846945074,0.00035266112205013664,0.0006024627501689835,0.06735827431157611,2.9388426837511388e-05,0.01166720545449202,0.0002057189878625797,0.0,0.004187850824345373,0.03209216210656243,0.0007640990977752961,0.004084991330414083,0.007185470361771534,0.0026155699885385135,0.0,0.0,0.0008963470185440974,0.0011755370735004554,0.0,0.011005965850648015,0.0,0.0,0.0,0.0,0.00016163634760631263,0.0005142974696564493,0.011799453375260822,0.0,0.039218855614658946
02_028,02,028,36087.0,0.1639648626929365,0.003519272868345942,0.0002771080998697592,0.00019397566990883144,0.03793609887217003,0.00011084323994790368,0.021032504780114723,0.0006096378197134702,0.0,0.0006373486297004461,0.03239393687477485,0.0005819270097264943,0.0025771053287887606,0.007426497076509547,0.0023831296588799292,0.0,0.0,8.313242996092776e-05,0.0014686729293097237,0.0,0.004461440407903123,0.0,0.00011084323994790368,0.0,0.0,2.771080998697592e-05,0.0008867459195832294,0.0011915648294399646,0.0,0.04605536619835398
02_029,02,029,35594.0,0.24801932910041016,0.0004495139630274765,8.428386806765185e-05,0.0004776085857166938,0.02607180985559364,0.000196662358824521,0.011097375962240827,0.008231724447940665,0.012164971624431083,0.005618924537843456,0.027195594763162332,0.0041860987806933755,0.000589987076473563,0.002809462268921728,0.0026970837781648592,0.000393324717649042,0.0,0.0022194751924481653,0.004607518121031635,0.0,0.07793448333988874,0.001882339720177558,0.0001404731134460864,0.0,0.00011237849075686913,0.000702365567230432,0.000393324717649042,0.008540765297522054,5.6189245378434565e-05,0.04916558970613025
02_030,02,030,31970.0,0.1926180794494839,0.0034720050046918986,3.127932436659368e-05,0.00025023459493274944,0.04451047857366281,0.0,0.017422583672192682,0.0005317485142320926,0.0,0.004379105411323116,0.028526743822333438,0.00021895527056615578,0.0035658429777916797,0.006412261495151705,0.0019080387863622146,0.0,0.0,0.0006255864873318737,0.004035032843290585,0.0,0.02915233030966531,6.255864873318736e-05,0.0,0.0,0.0,0.0,0.0,0.01197998123240538,3.127932436659368e-05,0.03550203315608383
02_031,02,031,83294.0,0.3656806012437871,0.0016927990011285326,8.403966672269311e-05,0.00015607366677071577,0.022270511681513675,0.0,0.01243787067495858,0.004994357336662905,0.001704804667803203,0.002353110668235407,0.01967728767978486,0.000108051000072034,0.012533916008355944,0.002100991668067328,0.004550147669700098,0.0,0.0006242946670828631,0.032559368021706246,0.022870795015247195,0.0,0.050880015367253346,0.0036017000024011333,0.002461161668307441,0.0014646913343097942,0.0022090426681393616,0.006170912670780609,0.00014406800009604534,0.00648306000432204,0.0,0.15154753043436503
02_032,02,032,39785.0,0.25926856855598845,0.0004272967198692975,0.00015081060701269323,0.007716476058816137,0.04612291064471535,0.00020108080935025762,0.013924846047505341,0.0008797285409073771,0.001834862385321101,0.0006032424280507729,0.022370240040216163,0.0,0.0024883750157094382,0.005052155334925223,0.0018097272841523188,0.0,0.000854593439738595,0.013019982405429183,0.03430941309538771,0.0,0.009199447027774288,0.01083322860374513,0.0009551338444137238,0.00040216161870051525,0.01357295463114239,2.5135101168782203e-05,0.0,0.001105944451426417,0.0,0.07140882242051025
02_033,02,033,70561.0,0.08701690735675516,7.086067374328596e-05,2.834426949731438e-05,0.0001558934822352291,0.017743512705318803,0.0,0.002012443134309321,0.0001417213474865719,1.417213474865719e-05,0.0013605249358710904,0.024333555363444396,0.0001417213474865719,0.002083303808052607,0.0055979932257195905,0.011139297912444552,0.0,0.0001700656169838863,0.0,9.920494324060033e-05,0.0,0.00032595909921911536,0.002990320431966667,0.00021258202122985786,0.0,0.0,7.086067374328596e-05,0.0,0.0020691316733039496,0.0,0.016255438556709797
02_034,02,034,9779.0,0.17977298292258923,0.006033336741998159,0.00040903977911851925,0.0,0.008385315471929645,0.0,0.009305654974946313,0.0,0.0,0.07618365886082422,0.03681358012066673,0.0,0.0011248593925759281,0.006340116576337049,0.0013293792821351877,0.0,0.0,0.0,0.0,0.0,0.00040903977911851925,0.0,0.0,0.0,0.0,0.0,0.0,0.005215257183761121,0.0,0.02822374475917783
03_035,03,035,138217.0,0.20947495604737476,0.003928605019643025,0.0010997200054986,0.0230651801153259,0.019657495098287476,0.0008682000043410001,0.01975155009875775,0.0012444200062221,0.0,0.0031906350159531752,0.02828885014144425,0.001106955005534775,0.0031906350159531752,0.0102737000513685,0.003262985016314925,7.235000036175e-06,0.0,4.3410000217050003e-05,0.00073797000368985,0.0,0.0209236201046181,0.001381885006909425,1.447000007235e-05,0.00299529001497645,0.0003762200018811,0.000976725004883625,0.000151935000759675,0.01396355006981775,0.000267695001338475,0.0487060202435301
03_036,03,036,82876.0,0.30247598822336985,0.00015686085235773928,0.0009652975529707032,0.002654568270669434,0.02438582943192239,0.0006757082870794922,0.0088204063902698,0.035257493122254936,0.0,0.0028958926589121095,0.0002654568270669434,0.00010859597470920411,0.00042231767942468265,0.0038249915536464115,0.0020029924224142094,0.0,0.00032578792412761234,0.0007601718229644288,0.0007722380423765626,2.4132438824267582e-05,0.007939572373184035,0.005972778609006226,0.0,0.0003378541435397461,0.0023287803465418216,0.0037163955789372076,0.0035233360683430666,0.009447849799700758,2.4132438824267582e-05,0.1848665476133018
03_037,03,037,259495.0,0.29740842790805216,0.0016609183221256672,0.000601167652555926,0.0010404824755775642,0.010478043892945915,0.0007052159001136823,0.016528256806489526,0.002308329640262818,1.541455519374169e-05,0.004381587313821075,0.02479431202913351,0.005090656852733193,0.010347020173799109,0.003410470336615349,0.007503034740553768,1.541455519374169e-05,5.395094317809592e-05,0.0008054105088730033,0.002543401606967379,3.8536387984354225e-06,0.01107921154550184,0.0010173606427869516,0.0046436347521146846,0.0031599838147170468,0.0010443361143759994,0.00019653557872020656,0.002501011580184589,0.012944372723944584,0.024620898283203914,0.14391414092757085
03_038,03,038,137481.0,0.2390657618143598,0.0023275943584931736,8.7284788443494e-05,0.00860482539405445,0.018300710643652577,9.455852081378518e-05,0.026992820826150524,0.0013747354179850307,7.273732370291167e-06,0.025923582167717722,0.03149526116336075,0.002000276401830071,0.0010619649260625104,0.005193444912387894,0.0017166008393887156,0.0002036645063681527,0.000130927182665241,0.00033459168903339373,0.005629868854605364,5.0916126592038174e-05,0.02667277660185771,0.009885002291225697,9.455852081378518e-05,3.636866185145584e-05,0.0032731795666310253,0.0005382561954015464,0.004167848648176839,0.009877728558855405,0.0001600221121464057,0.05282911820542475
03_039,03,039,52848.0,0.266670451105056,0.002251740841659098,0.00015137753557372085,0.002611262488646685,0.023217529518619436,0.0012867090523766274,0.02119285498032092,0.00015137753557372085,0.0,0.007966242809567061,0.027285800787163184,0.005449591280653951,0.003973660308810172,0.002270663033605813,0.00028383287920072663,0.0022328186497123825,0.0,0.00874205267938238,0.0005865879503481683,0.0,0.07722146533454435,0.0147782319103845,0.0,0.0,0.0013434756282167727,0.008079775961247352,5.676657584014532e-05,0.022271419921283682,1.8922191946715107e-05,0.033246291250378444
03_040,03,040,66533.0,0.378218327747133,0.0014729532713089746,7.515067710760074e-05,0.010445944117956503,0.02839192581125156,0.0010971998857709708,0.007469977304495514,0.006417867824989103,0.0,0.0020741586881697803,0.01752513790149249,0.0010521094795064103,0.000405813656381044,0.002239490177806502,0.0012024108337216118,0.0,0.0,0.0017885861151608975,0.0013827724587798535,0.0,0.03650819893887244,0.13476019418934965,0.0,0.04264049419085266,0.011437933055776832,0.0,0.0,0.010265582492898261,1.5030135421520148e-05,0.059549396540062825
03_041,03,041,496130.0,0.45015217785661016,0.0006349142361880959,0.0007941466954225707,0.0028561062624715295,0.010749198798701953,0.0006147582286900611,0.01427650011085804,0.0028016850422268357,6.046802249410437e-06,0.11102936730292463,0.02581178320198335,0.002225223227783041,0.00415415314534497,0.002255457239030093,0.0026747021949892163,0.00015520125773486787,3.82964142462661e-05,0.0013827021143651866,0.0031503839719428375,0.00020760687722975833,0.016705299014371233,0.019230846753874993,0.001818071876322738,0.003841735029125431,0.0004776973777034245,0.0009372543486586177,0.09637594985185334,0.011670328341362142,4.031201499606958e-05,0.11323645012395944
03_042,03,042,67556.0,0.2890194801349991,0.0005180886967848895,0.004070696903309847,0.033379714607140745,0.046450352300313816,0.0038190538220143288,0.011797619752501627,0.0011397951329267571,0.0,0.0015542660903546687,0.024128130735982,0.0012730179406714429,0.0018207117058440406,0.006335484634969506,0.001258215406477589,0.0,0.0,0.0009177571200189472,0.0003700633548463497,0.0,0.07279886316537391,0.0,0.0,0.0001184202735508319,0.00017763041032624785,0.002175972526496536,0.0007401267096926994,0.013751554266090356,1.4802534193853987e-05,0.060409142045118124
03_043,03,043,121108.0,0.19869868216798225,0.0034019222512137928,0.003344122601314529,0.006787330316742082,0.03303662846385045,0.0015523334544373618,0.013764573768867458,0.0022211579747002676,1.6514185685503846e-05,0.0014697625260098426,0.03386233774812564,0.0010073653268157347,0.007869009479142583,0.006366218581761733,0.0026340126168378636,5.779964989926347e-05,1.6514185685503846e-05,4.128546421375962e-05,0.0013293919476830597,0.00011559929979852693,0.037619314991577765,0.00029725534233906927,0.0,0.00107342206955775,8.257092842751924e-05,0.0009413085840737194,6.605674274201539e-05,0.009586484790434984,0.0,0.030138388876044524
