state_district,round,nonagri_share,total_emp_wtd,share_high,share_low,share_middle,year
01_01,2017-18,0.6658100247303309,42531578,0.04437969134396969,0.334189975269669,0.6230024900557416,2017
01_01,2018-19,0.616655795015769,60272968,0.050359423502755934,0.38334420498423105,0.5714790418152297,2018
01_01,2019-20,0.7146850408887223,52471192,0.0231936221307875,0.2853149591112777,0.6914914187579349,2019
01_01,2020-21,0.803863945654832,24155671,0.004686063160903292,0.19613605434516806,0.7991778824939286,2020
01_01,2021-22,0.5362061661318098,76835821,NA,0.4670589382025867,0.5362061661318098,2021
01_01,2022-23,0.7882595309076709,84409353,0.11798248234410706,0.23023301912463492,0.6702770485635638,2022
01_02,2017-18,0.6623944935117182,69480798,NA,0.33760550648828186,0.6623944935117182,2017
01_02,2018-19,0.8305637201580933,135991855,0.009597015938932519,0.1694362798419067,0.8209667042191607,2018
01_02,2019-20,0.8201587674904224,111960704,0.007827826806090822,0.17984123250957765,0.8123309406843315,2019
01_02,2020-21,0.6538731270044544,102891462,0.0320247174639233,0.34612687299554556,0.6218484095405312,2020
01_02,2021-22,0.5984003377411025,88759111,0.04099664765682477,0.4015996622588976,0.5574036900842777,2021
01_02,2022-23,0.6374910260090165,201705128,0.049081315374391477,0.36250897399098353,0.588409710634625,2022
01_03,2017-18,0.4621632752228678,20583613,0.012572492338471655,0.5378367247771322,0.45048004934799346,2017
01_03,2018-19,0.6053449054860512,12321303,0.047300597996819,0.4144623840311805,0.5580443074892322,2018
01_03,2019-20,0.6900592971713553,6773173,0.08897085605225202,0.3099407028286447,0.6010884411191033,2019
01_03,2020-21,0.4917971078950343,10828376,0.017936392308504988,0.5082028921049657,0.4738607155865293,2020
01_04,2017-18,0.6553403482223766,4546520,0.24286773180366522,0.3446596517776233,0.41247261641871147,2017
01_04,2018-19,0.37273960778765935,8369344,NA,0.6272603922123406,0.37273960778765935,2018
01_04,2019-20,0.3592402879215066,9407564,NA,0.6407597120784935,0.3592402879215066,2019
01_04,2020-21,0.082191947433155,1315506,NA,0.9178080525668451,0.082191947433155,2020
01_05,2017-18,0.3595477607136885,47192804,0.0943787107881956,0.6776434197415243,0.28056746589153897,2017
01_05,2018-19,0.4007710501196587,67812453,0.30170893537799026,0.5992289498803413,0.10726664881775383,2018
01_05,2019-20,0.35932881840663944,91771885,0.2835385368841449,0.6406711815933606,0.0757902815224946,2019
01_05,2020-21,0.3654557730406833,46075641,0.2719384848058869,0.6475091256784892,0.09542801741480277,2020
01_05,2021-22,0.35656508235696777,65073304,0.026872832521305512,0.7114794233865116,0.32969224983566225,2021
01_05,2022-23,0.3528895841574456,205559578,0.0533643341104738,0.6918867087272387,0.2995252500469717,2022
01_06,2017-18,0.47097100572807277,107711620,0.30711375430060384,0.5290289942719272,0.16385725142746901,2017
01_06,2018-19,0.6361555407044138,82055794,0.2728487521551495,0.3638444592955861,0.3633067885492644,2018
01_06,2019-20,0.2980958638730629,91354498,0.18859591347105864,0.7569702970427938,0.11809049942253982,2019
01_06,2020-21,0.3696201762193302,127363326,0.18536042314095974,0.7160416794479858,0.18425975307837045,2020
01_06,2021-22,0.305267142598379,187252914,0.04171943086557254,0.7130697323792247,0.26354771173280644,2021
01_06,2022-23,0.3414442699816673,184519462,0.07859910733969082,0.6585557300183327,0.2628451626419765,2022
01_07,2017-18,0.469833909864586,62440674,0.11549295576149611,0.5301660901354139,0.3543409541030899,2017
01_07,2018-19,0.5196703866594335,125296749,0.35421258216364415,0.48032961334056634,0.16545780449578942,2018
01_07,2019-20,0.4894996973361129,126111841,0.2629448094410104,0.510500302663887,0.22655488789510256,2019
01_07,2020-21,0.499589081854129,134521925,0.3296649969884091,0.500410918145871,0.16992408486571983,2020
01_07,2021-22,0.44665823506549285,154728223,0.11330056443548764,0.5533417649345072,0.3333576706300052,2021
01_07,2022-23,0.3903174593817997,160823472,0.056500222803298264,0.6096825406182003,0.33381723657850143,2022
01_08,2017-18,0.7402203718844491,94827251,0.03707012449406553,0.2597796281155509,0.7031502473903836,2017
01_08,2018-19,0.6858330702543478,84470829,0.10082227286627854,0.3141669297456522,0.6690893728532012,2018
01_08,2019-20,0.5817834356923721,105383626,0.017831189605586155,0.4182165643076278,0.5677240978593772,2019
01_08,2020-21,0.6512926376203558,81612200,0.059853355258159935,0.3487073623796442,0.5914392823621959,2020
01_08,2021-22,0.7800732061047491,88563379,0.036999570669045946,0.219926793895251,0.743073635435703,2021
01_08,2022-23,0.6522264479175983,124099759,0.04016178629323527,0.3477735520824017,0.612064661624363,2022
01_09,2017-18,0.3333177581672969,20459921,0.16519307361981012,0.6666822418327031,0.20990985253559874,2017
01_09,2018-19,0.6143032487739012,27557935,0.012256599492247772,0.38569675122609876,0.6047632741713049,2018
01_09,2019-20,0.7814903354764096,40231264,0.05947021699343078,0.2411024474767759,0.7220201184829788,2019
01_09,2020-21,0.8342052854166857,58259891,0.06374761325935197,0.16579471458331427,0.7704576721573337,2020
01_09,2021-22,0.7484826097529123,87358707,0.017551267099225724,0.2515173902470878,0.7309313426536865,2021
01_09,2022-23,0.7678241995197492,64889015,0.1327029235996262,0.23217580048025077,0.635121275920123,2022
01_10,2017-18,0.9352462000997279,156038503,0.07953426725710128,0.06475379990027205,0.8557119328426267,2017
01_10,2018-19,0.8851028267556275,267471193,0.05960049312674954,0.11489717324437253,0.8255023336288779,2018
01_10,2019-20,0.8912255968448611,286326039,0.05600676437255502,0.10877440315513881,0.8352188324723061,2019
01_10,2020-21,0.8986737079636906,298784347,0.07857284103306791,0.10132629203630938,0.8201008669306227,2020
01_10,2021-22,0.8980504862438424,256875438,0.07329788767114433,0.10194951375615757,0.8247525985726981,2021
01_10,2022-23,0.8712089870300865,299860752,0.11913434072892608,0.12879101296991344,0.7520746463011605,2022
01_11,2017-18,0.8810586939156054,29772609,0.005873818751079608,0.11894130608439456,0.8758140074321333,2017
01_11,2018-19,0.6649872227426031,65136044,0.06840159622537624,0.33501277725739687,0.6557026091421825,2018
01_11,2019-20,0.7141703244181196,61259402,0.07380168353585953,0.2858296755818805,0.64036864088226,2019
01_11,2020-21,0.8267482474428655,65619544,0.009875655338293725,0.17325175255713451,0.8168725921045717,2020
01_11,2021-22,0.5638522755224467,82500153,0.06488254633903527,0.4361477244775534,0.4989697291834113,2021
01_11,2022-23,0.5180128272395537,32743444,0.033892345983269685,0.48198717276044634,0.5063602961252335,2022
01_12,2017-18,0.5725288011441839,45752783,0.07704875570082807,0.427471198855816,0.4954800454433559,2017
01_12,2018-19,0.6602037321980476,60552628,0.07533202357460027,0.3397962678019524,0.5848717086234474,2018
01_12,2019-20,0.8352452312706801,56768372,0.1343669051790948,0.1647547687293199,0.7109885765263798,2019
01_12,2020-21,0.8200529158375355,100521890,0.0822768453716897,0.17994708416246452,0.7377760704658458,2020
01_12,2021-22,0.6787484185285667,64720581,0.04225921581266398,0.32125158147143335,0.6364892027159027,2021
01_12,2022-23,0.804756575913157,78059387,0.04677545059378957,0.195243424086843,0.7579811253193675,2022
